modelis,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_eilutes,test_eilutes,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,batch_size,max_iter,early_stopping,validation_fraction,n_iter_no_change,realios_iteracijos
MLP_1000,0.98,0.9569,0.9539,0.9569,0.9554,0.98,0.98,0.98,750,250,"(64, 32)",relu,adam,0.001,0.001,32.0,1000.0,True,0.2,20.0,48.0
RandomForest_1000,0.972,0.8838,0.9865,0.8838,0.9239,0.9731,0.972,0.9699,750,250,,,,,,,,,,,
