SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,ADRESAS,PASK_TIP,BP_ZONA_PAV,BP_ZONOS_KODAS,U_INTENS,MAX_AUK_SK,PAGR_PASK,BP_OBJ_NR,SKLYPO_PLOTAS_M2,SUSIKIRTIMO_PLOTAS_M2,SUSIKIRTIMO_PROC
550100010113,440027447950,0.463,KlaipÓdos r. sav. LadeikiÖ k. Liepos g. 8,995,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,494,4630.49,4630.49,100.0
550100010202,440031114233,0.3055,KlaipÓdos r. sav. LadeikiÖ k.,610,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,494,3055.0,3055.0,100.0
550100010429,550100010429,3.6372,KlaipÓdos r. sav. LadeikiÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,36371.88,35870.45,98.62
550100010429,550100010429,3.6372,KlaipÓdos r. sav. LadeikiÖ k.,610,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,495,36371.88,501.43,1.38
550100010648,440018127418,1.1,KlaipÓdos r. sav. LadeikiÖ k.,610,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,494,12931.51,12931.51,100.0
550100010654,440019654763,0.42,KlaipÓdos r. sav. LadeikiÖ k.,610,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,494,4563.7,4563.7,100.0
550100020006,550100020006,8.1921,KlaipÓdos r. sav. LvaginiÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,81921.38,50843.28,62.06
550100020006,550100020006,8.1921,KlaipÓdos r. sav. LvaginiÖ k.,610,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,477,81921.38,27517.02,33.59
550100020006,550100020006,8.1921,KlaipÓdos r. sav. LvaginiÖ k.,610,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,495,81921.38,3561.07,4.35
550100020030,550100020030,13.3634,KlaipÓdos r. sav. LaigiÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,133633.97,80830.69,60.49
550100020030,550100020030,13.3634,KlaipÓdos r. sav. LaigiÖ k.,610,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,477,133633.97,40657.56,30.42
550100020030,550100020030,13.3634,KlaipÓdos r. sav. LaigiÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,478,133633.97,12145.72,9.09
550100020044,550100020044,2.68,KlaipÓdos r. sav. TickinÖ k.,710,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,495,26800.25,26800.25,100.0
550100030049,550100030049,1.81,KlaipÓdos r. sav. DausynÖ k.,710,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,477,20316.73,19373.97,95.36
550100030049,550100030049,1.81,KlaipÓdos r. sav. DausynÖ k.,710,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,478,20316.73,942.76,4.64
550100030222,440005895110,1.15,KlaipÓdos r. sav. LiUiÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,12446.88,12446.88,100.0
550100040054,550100040054,1.2627,KlaipÓdos r. sav. LadeikiÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,12627.23,12627.23,100.0
550300010031,550300010031,6.53,KlaipÓdos r. sav. GrobÕtÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,134,67697.98,67697.98,100.0
550300010103,440045092251,0.4821,KlaipÓdos r. sav. PoÕkÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,134,4820.85,4820.85,100.0
550300010512,440008052342,0.36,KlaipÓdos r. sav. KisiniÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,1;0,8***",0,Z;KT,570,3599.91,3599.91,100.0
550300020045,550300020045,1.03,KlaipÓdos r. sav. PoÕkÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,134,10299.85,10299.85,100.0
550300020123,440005946110,1.29,KlaipÓdos r. sav. PoÕkÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,134,13399.7,13399.7,100.0
550300020171,440009178624,0.3833,KlaipÓdos r. sav. PoÕkÖ k. GruodÓs g. 14,995,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,134,3833.52,3330.84,86.89
