bandymo_nr,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,batch_size,max_iter,early_stopping,validation_fraction,n_iter_no_change,realios_iteracijos,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
10,"(32,)",relu,adam,0.0001,0.001,32,1000,True,0.2,20,77,0.98,0.9569,0.9539,0.9569,0.9554,0.98,0.98,0.98
12,"(32,)",relu,adam,0.001,0.001,32,1000,True,0.2,20,77,0.98,0.9569,0.9539,0.9569,0.9554,0.98,0.98,0.98
18,"(64,)",relu,adam,0.0001,0.001,32,1000,True,0.2,20,60,0.976,0.9549,0.9491,0.9549,0.9519,0.9761,0.976,0.976
20,"(64,)",relu,adam,0.001,0.001,32,1000,True,0.2,20,60,0.976,0.9549,0.9491,0.9549,0.9519,0.9761,0.976,0.976
23,"(64,)",tanh,adam,0.001,0.0005,32,1000,True,0.2,20,94,0.964,0.9324,0.9332,0.9324,0.9321,0.9647,0.964,0.9639
