bandymo_nr,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,batch_size,max_iter,early_stopping,validation_fraction,n_iter_no_change,realios_iteracijos,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
10,"(32,)",relu,adam,0.0001,0.001,32,1000,True,0.2,20,77,0.98,0.9569,0.9539,0.9569,0.9554,0.98,0.98,0.98
12,"(32,)",relu,adam,0.001,0.001,32,1000,True,0.2,20,77,0.98,0.9569,0.9539,0.9569,0.9554,0.98,0.98,0.98
18,"(64,)",relu,adam,0.0001,0.001,32,1000,True,0.2,20,60,0.976,0.9549,0.9491,0.9549,0.9519,0.9761,0.976,0.976
20,"(64,)",relu,adam,0.001,0.001,32,1000,True,0.2,20,60,0.976,0.9549,0.9491,0.9549,0.9519,0.9761,0.976,0.976
23,"(64,)",tanh,adam,0.001,0.0005,32,1000,True,0.2,20,94,0.964,0.9324,0.9332,0.9324,0.9321,0.9647,0.964,0.9639
13,"(32,)",tanh,adam,0.0001,0.0005,32,1000,True,0.2,20,54,0.956,0.9449,0.9154,0.9449,0.9292,0.9583,0.956,0.9563
15,"(32,)",tanh,adam,0.001,0.0005,32,1000,True,0.2,20,54,0.956,0.9449,0.9154,0.9449,0.9292,0.9583,0.956,0.9563
21,"(64,)",tanh,adam,0.0001,0.0005,32,1000,True,0.2,20,94,0.964,0.9324,0.9213,0.9324,0.9265,0.9647,0.964,0.964
22,"(64,)",tanh,adam,0.0001,0.001,32,1000,True,0.2,20,59,0.964,0.9324,0.9213,0.9324,0.9265,0.9647,0.964,0.964
24,"(64,)",tanh,adam,0.001,0.001,32,1000,True,0.2,20,59,0.964,0.9324,0.9213,0.9324,0.9265,0.9647,0.964,0.964
2,"(16,)",relu,adam,0.0001,0.001,32,1000,True,0.2,20,67,0.96,0.9304,0.9192,0.9304,0.9245,0.9606,0.96,0.96
4,"(16,)",relu,adam,0.001,0.001,32,1000,True,0.2,20,67,0.96,0.9304,0.9192,0.9304,0.9245,0.9606,0.96,0.96
17,"(64,)",relu,adam,0.0001,0.0005,32,1000,True,0.2,20,60,0.956,0.9119,0.9267,0.9119,0.9179,0.9561,0.956,0.9555
19,"(64,)",relu,adam,0.001,0.0005,32,1000,True,0.2,20,60,0.956,0.9119,0.9267,0.9119,0.9179,0.9561,0.956,0.9555
14,"(32,)",tanh,adam,0.0001,0.001,32,1000,True,0.2,20,80,0.964,0.9159,0.918,0.9159,0.9164,0.9641,0.964,0.9637
16,"(32,)",tanh,adam,0.001,0.001,32,1000,True,0.2,20,80,0.964,0.9159,0.918,0.9159,0.9164,0.9641,0.964,0.9637
9,"(32,)",relu,adam,0.0001,0.0005,32,1000,True,0.2,20,48,0.948,0.9079,0.9051,0.9079,0.9056,0.9488,0.948,0.9477
11,"(32,)",relu,adam,0.001,0.0005,32,1000,True,0.2,20,48,0.948,0.9079,0.9051,0.9079,0.9056,0.9488,0.948,0.9477
1,"(16,)",relu,adam,0.0001,0.0005,32,1000,True,0.2,20,81,0.948,0.9018,0.9094,0.9018,0.9053,0.9476,0.948,0.9477
3,"(16,)",relu,adam,0.001,0.0005,32,1000,True,0.2,20,81,0.948,0.9018,0.9094,0.9018,0.9053,0.9476,0.948,0.9477
5,"(16,)",tanh,adam,0.0001,0.0005,32,1000,True,0.2,20,73,0.932,0.8503,0.8945,0.8503,0.8645,0.9336,0.932,0.93
6,"(16,)",tanh,adam,0.0001,0.001,32,1000,True,0.2,20,46,0.932,0.8503,0.8945,0.8503,0.8645,0.9336,0.932,0.93
7,"(16,)",tanh,adam,0.001,0.0005,32,1000,True,0.2,20,73,0.932,0.8503,0.8945,0.8503,0.8645,0.9336,0.932,0.93
8,"(16,)",tanh,adam,0.001,0.001,32,1000,True,0.2,20,46,0.928,0.8318,0.8882,0.8318,0.8492,0.9287,0.928,0.925
