SKLYPO_ID,past_proc
556500040083,0.0
555800050713,0.0
555800050509,0.0
554400020197,0.0
551000030102,0.0
551000030174,0.0
550500010351,100.0
550500010355,33.72
550500010349,52.64
550500010346,0.0
550500010354,100.0
550500010608,0.0
550500010166,90.79
550500010066,21.54
550500010393,0.0
550500010352,41.79
550500010614,0.0
550500010353,0.0
550500010348,0.0
550500010612,17.97
550500010350,100.0
550500010613,0.0
550500010347,0.0
550500010001,98.37
554400040281,50.77
554400050579,0.0
550500010129,0.0
554400050272,28.64
551000050916,0.0
551000050918,0.0
552800040479,0.0
552800040480,0.0
550100040082,0.0
553500050046,0.0
553500050187,0.0
550100020175,0.0
550100020203,0.0
550100020204,0.0
550170010001,0.0
550100020103,0.0
552800040475,0.0
552800040474,0.0
555800051224,0.0
555800051221,0.0
550100010197,0.0
552500020006,0.0
555200030215,0.0
552800040482,0.0
554500020170,0.0
555800010376,0.0
552300040394,0.0
554400060448,0.0
552000080040,0.0
552800040488,0.0
553800140063,0.0
555800070444,0.0
555800070455,0.0
555800070346,0.0
555800140337,0.0
555200090024,0.0
555800140004,0.0
552800070731,0.0
554400030924,0.0
552300090379,0.0
555200050494,0.0
551800070388,0.0
553800140008,0.0
550800030286,0.0
554400051357,0.0
555870010010,0.0
550300080023,0.0
550300080023,0.0
550300080023,0.0
554400110037,0.0
552800011049,0.0
551500050238,0.0
554500010143,0.0
555800040570,0.0
552000050022,0.0
552000180096,0.0
555800070382,0.0
555800070382,0.0
555800130122,0.0
555800040055,0.0
555800040055,0.0
555800050942,0.0
555800010346,0.0
552300070164,0.0
554400060453,0.0
555200100346,0.0
553000051274,0.0
555800140411,0.0
552300040310,0.0
555800070638,0.0
556300060507,0.0
554500020393,0.0
554400020584,0.0
552300060548,0.0
552300070311,0.0
554500020181,0.0
552000040060,0.0
552000040051,0.0
551800030033,0.0
552800040528,0.0
553000030115,0.0
554400150085,0.0
555800051968,0.0
555200110141,0.0
552300070484,0.0
552500020296,0.0
551500010392,0.0
550500030203,0.0
552300090378,0.0
554400100010,0.0
552300041152,0.0
550300020249,0.0
555200090334,0.0
554500020136,0.0
552300020863,0.0
552300020857,0.0
553800020608,0.0
554400050505,0.0
556800110200,0.0
554800010102,0.0
552000170251,0.0
555800070667,0.0
552300021053,0.0
556300050267,0.0
556300040257,0.0
554500020198,0.0
551070010001,0.0
552300070325,0.0
551500010008,0.0
555200010165,0.0
552800020659,0.0
555800052588,0.0
555800052614,0.0
556500010679,0.0
554400030652,0.0
553500041048,0.0
550100020130,0.0
555000010416,0.0
554400130296,0.0
552300050368,0.0
556800070128,0.0
551000030404,0.0
551300230158,0.0
552300041077,0.0
552300041072,0.0
555800131067,0.0
555800071118,0.0
555800070225,0.0
551000051624,0.0
552300050155,0.0
551500010347,0.0
551000051606,0.0
554500010157,0.0
553800140656,0.0
553800020538,0.0
555200121176,0.0
552300020555,0.0
556800030035,0.0
552300070440,0.0
555200121091,0.0
553300050118,0.0
555800030032,0.0
555800052568,0.0
555800052565,0.0
552800020246,0.0
556300010047,0.0
554400021128,0.0
552800020031,0.0
553000050302,0.0
555200050119,0.0
554400040458,0.0
554400040451,0.0
551000050985,0.0
550300050198,0.0
554500010174,0.0
552300021108,0.0
555800060332,0.0
556300030351,0.0
552800020356,0.0
552000010852,0.0
555500050677,0.0
555800051650,0.0
556800010140,0.0
551000030021,0.0
555800070692,0.0
555200090037,0.0
553000051073,0.0
556800120469,0.0
553000050514,0.0
555800041055,0.0
551500020041,0.0
555800041064,0.0
552000150442,0.0
555800040588,0.0
555800051622,0.0
555800070608,0.0
552000010396,0.0
554400030668,0.0
554500020132,0.0
553000051286,0.0
555800130461,0.0
550500020200,0.0
553800140149,0.0
556800020246,0.0
555800050464,0.0
553500020112,0.0
556300010327,0.0
551300010095,0.0
554400030770,0.0
552000090244,0.0
552300030581,0.0
552300020434,0.0
552000150034,0.0
552300070430,0.0
556500010225,0.0
553000020142,0.0
552000020053,0.0
555800040357,0.0
555800052196,0.0
555000050032,0.0
551000030773,0.0
551000030767,0.0
555800071587,0.0
555800071605,0.0
551300050416,0.0
551800070339,0.0
552000160287,0.0
552000010211,0.0
554400051203,0.0
556500010251,0.0
555800040111,0.0
555800071402,0.0
555200130477,0.0
551000010076,0.0
555800040267,0.0
551300010189,0.0
554500040670,0.0
552800020385,0.0
553300030476,0.0
555800050315,0.0
551000040128,0.0
555500040050,0.0
555800131062,0.0
553800040238,0.0
555800021565,0.0
552300040790,0.0
553000051038,0.0
552300040952,0.0
552000130099,0.0
555900010289,0.0
554500020150,0.0
552800070287,0.0
555800020554,0.0
553500030149,0.0
550300020092,0.0
555800021561,0.0
553800110164,0.0
555200130481,0.0
555800030774,0.0
554400170087,0.0
555500050152,0.0
553500050088,0.0
556870010007,0.0
555000030103,0.0
555800040692,0.0
555800070451,0.0
552800070640,0.0
553000050592,0.0
555200130483,0.0
555200030362,0.0
551000020600,0.0
555800030128,0.0
555800030757,0.0
555200080036,0.0
553500020238,0.0
552300060720,0.0
556800010533,0.0
555800131041,0.0
555200030245,0.0
551000050996,0.0
552800040752,0.0
554400130347,0.0
555200050328,0.0
554400160214,0.0
552300041171,0.0
555800030728,0.0
555800070999,0.0
552300030975,0.0
556300010310,0.0
555800052518,0.0
554400150045,0.0
553000051176,0.0
555800131030,0.0
550500050058,0.0
551500040317,0.0
550100040207,0.0
555800010358,0.0
551300140064,0.0
552300020193,0.0
554400040039,0.0
554400040435,0.0
555800030754,0.0
554400270035,0.0
554400150046,0.0
553500020401,0.0
555800071330,0.0
554500030006,0.0
552300030965,0.0
552800100200,0.0
554400050660,0.0
555200130678,0.0
551870010003,0.0
552300070003,0.0
552800070161,0.0
551300050385,0.0
552300070368,0.0
552300070343,0.0
552800020339,0.0
552300070347,0.0
555200130728,0.0
553800010069,0.0
552300020879,0.0
553800020454,0.0
555800052483,0.0
555200130717,0.0
554400040235,0.0
555200110595,0.0
555800052452,0.0
552800041174,0.0
553800150147,0.0
556300030197,0.0
551300150446,0.0
554400030565,0.0
554400021079,0.0
554400021077,0.0
554400090030,0.0
556800100085,0.0
554400160024,0.0
554400110002,0.0
556800020268,0.0
553000050704,0.0
553500050143,0.0
556800120464,0.0
552300021071,0.0
554400020491,0.0
556800100304,0.0
555300030133,0.0
555800021532,0.0
554400180171,0.0
555200120887,0.0
556800100310,0.0
556800100311,0.0
554400130330,0.0
554400110053,0.0
552800080048,0.0
556800110367,0.0
555200090150,0.0
553800130214,0.0
555200120308,0.0
555800070635,0.0
550500010196,0.0
554400050576,32.76
551000050735,0.0
552800040673,0.0
555800060548,0.0
554400120069,0.0
553800050429,0.0
555800060070,0.0
555200080019,0.0
550500040079,0.0
555800140697,0.0
550300070130,0.0
556800020149,0.0
555800140665,0.0
554400021010,0.0
552500060092,0.0
555800050293,0.0
552500060112,0.0
555800070149,0.0
551800020319,0.0
550300080095,0.0
550300080095,0.0
555800040406,0.0
551000040754,0.0
554400051081,0.0
555800071486,0.0
555300010020,0.0
