SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,ADRESAS,PASK_TIP,SKLYPO_PLOTAS_M2,zonu_kiekis,pagrindine_zona_pavadinimas,pagrindine_zona_kodas,pagrindine_zona_proc,pagrindine_u_intens,pagrindine_max_auk_sk,pagrindine_pagr_pask,antra_zona_pavadinimas,antra_zona_kodas,antra_zona_proc,ar_yra_gyvenamoji_zona,ar_yra_zemes_ukio_zona,ar_yra_misku_zona,ar_yra_pramones_zona,draustiniu_proc,rezervatu_proc,parku_proc,biosferos_poligonu_proc,bast_proc,past_proc,pajurio_juostos_proc,buferiniu_apsaugos_zonu_proc,misko_proc,ar_yra_miskas_proc,kvr_poligonu_proc,kvr_apsaugos_zonu_proc,ar_yra_kvr_poligonas,ar_yra_kvr_apsaugos_zona,pelkiu_proc,saltinynu_proc,pievu_ganyklu_proc,ar_yra_pelke,ar_yra_saltinynas,ar_yra_pievos_ganyklos,drenazo_plotu_proc,rinktuvu_apsaugos_zonu_proc,ar_yra_drenazo_plotai,ar_yra_rinktuvu_apsaugos_zona
552800011049,440051112166,0.8615,KlaipÓdos r. sav. BendikÖ k.,610,8614.81,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,05",0,Z;KT,,,0.0,0,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
552800040488,440009705804,0.2207,KlaipÓdos r. sav. Bruzdeilyno k. Bruzdeilyno g. 20,995,2206.67,1,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,100.0,"0,2*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,8.43,1,1
552800070731,440015074561,0.2034,KlaipÓdos r. sav. GirkaliÖ k.,995,2034.16,1,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,100.0,"0,4*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0
553300020190,440005893349,4.8,KlaipÓdos r. sav. MisgiriÖ k.,710,46470.6,2,Miškų ir miškingų teritorijų zona,MI_F,98.19,0,0,M;KT,Žemės ūkio teritorijų zona,ZU_F,1.81,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.64,1,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.04,1.96,1,1
553800140008,553800140008,0.2414,KlaipÓdos r. sav. KvietiniÖ k. Minijos g. 27,995,2414.14,1,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,100.0,"0,8*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,41.03,1,1
553800140063,553800140063,1.0266,KlaipÓdos r. sav. KvietiniÖ k.,610,10266.34,2,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,99.84,"0,4*",0,KT,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,0.16,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
554300050185,554300050185,32.53,KlaipÓdos r. sav. RudaiNiÖ k.,610,336748.48,6,Miškų ir miškingų teritorijų zona,MI_F,48.77,0,0,M,Žemės ūkio teritorijų zona,ZU_F,42.59,0,1,1,0,108.08,0.0,0.0,0.0,108.17,0.0,0.0,0.0,107.78,1,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,39.16,0.03,1,1
554400030924,440051957205,0.2591,KlaipÓdos r. sav. BirbinNiÖ k. SapnÖ g. 4,995,2591.16,1,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,100.0,"0,2*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
554400050350,554400050350,1.87,KlaipÓdos r. sav. GalNiÖ k.,610,20481.67,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,05;0,8***",0,Z;KT,,,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79,1,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,47.39,0.0,1,0
554400051357,440051890114,0.1372,KlaipÓdos r. sav. KalviÖ k. Hugo ¾ojaus g. 23A,995,1372.2,1,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,100.0,"0,4*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,99.98,44.38,1,1
