SKLYPO_ID,drenazo_plotu_proc
550100010001,0.0
550100010002,100.0
550100010003,0.0
550100010004,100.0
550100010005,100.0
550100010006,100.0
550100010007,100.0
550100010008,100.0
550100010009,69.07
550100010010,98.09
550100010011,99.98
550100010012,100.0
550100010013,100.0
550100010014,95.45
550100010015,100.0
550100010016,100.0
550100010017,100.0
550100010018,100.0
550100010019,100.0
550100010020,100.0
550100010021,1.35
550100010022,100.0
550100010023,100.0
550100010024,100.0
550100010025,62.05
550100010026,100.0
550100010027,100.0
550100010028,100.0
550100010029,100.0
550100010030,99.99
550100010031,100.0
550100010032,86.93
550100010033,100.0
550100010034,100.0
550100010035,100.0
550100010036,100.0
550100010037,28.47
550100010038,100.0
550100010039,100.0
550100010040,0.0
550100010041,0.0
550100010042,0.0
550100010043,100.0
550100010044,100.0
550100010045,51.37
550100010046,100.0
550100010047,100.0
550100010048,100.0
550100010049,100.0
550100010050,100.0
550100010051,100.0
550100010052,100.0
550100010053,83.2
550100010054,90.55
550100010055,100.0
550100010056,100.0
550100010057,100.0
550100010058,100.0
550100010059,100.0
550100010060,0.07
550100010061,59.99
550100010062,100.0
550100010063,100.0
550100010064,100.0
550100010065,68.14
550100010066,65.16
550100010067,100.0
550100010068,98.51
550100010069,100.0
550100010070,100.0
550100010071,100.0
550100010072,68.86
550100010073,100.0
550100010074,100.0
550100010075,100.0
550100010076,100.0
550100010077,66.63
550100010078,92.59
550100010079,100.0
550100010080,100.0
550100010081,100.0
550100010082,100.0
550100010083,33.54
550100010084,100.0
550100010085,100.0
550100010086,100.0
550100010087,100.0
550100010088,22.0
550100010090,100.0
550100010091,100.0
550100010092,0.74
550100010093,100.0
550100010094,0.0
550100010095,1.15
550100010096,0.33
550100010097,0.07
550100010098,0.22
550100010099,92.71
550100010100,0.83
550100010101,0.0
550100010102,0.0
550100010103,100.0
550100010104,100.0
550100010105,99.96
550100010106,0.0
550100010107,0.7
550100010108,0.02
550100010109,0.0
550100010110,0.42
550100010111,100.0
550100010112,100.0
550100010113,100.0
550100010114,100.0
550100010115,100.0
550100010116,100.0
550100010117,1.1
550100010118,1.41
550100010119,100.0
550100010120,97.02
550100010121,69.65
550100010122,53.35
550100010123,72.82
550100010124,99.83
550100010125,84.38
550100010126,97.59
550100010127,100.0
550100010129,100.0
550100010140,100.0
550100010141,100.0
550100010142,100.0
550100010143,100.0
550100010144,55.37
550100010145,100.0
550100010146,99.4
550100010147,100.0
550100010148,0.0
550100010149,100.0
550100010150,100.0
550100010151,0.35
550100010152,100.0
550100010153,0.88
550100010154,100.0
550100010155,100.0
550100010156,100.0
550100010157,0.0
550100010158,95.63
550100010159,100.0
550100010160,100.0
550100010161,0.0
550100010162,100.0
550100010163,100.0
550100010164,0.0
550100010165,0.0
550100010166,100.0
550100010167,100.0
550100010168,99.86
550100010169,96.67
550100010170,67.02
550100010171,100.0
550100010172,100.0
550100010173,100.0
550100010174,100.0
